date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:16	269/269	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Aug%202021%2012:02:16%20GMT	http://ipci.in/creativeimg/twitter.png	C:/My%20Web%20Sites/IPCI/ipci.in/creativeimg/twitter.png	(from http://ipci.in/about.html)
17:32:16	269/269	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Aug%202021%2012:02:16%20GMT	http://ipci.in/creativeimg/google.png	C:/My%20Web%20Sites/IPCI/ipci.in/creativeimg/google.png	(from http://ipci.in/about.html)
17:32:17	69455/69455	---M--	200	added ('OK')	image/png	etag:%2210f4f-560ee9294ca20%22	http://ipci.in/images/foot1.png	C:/My%20Web%20Sites/IPCI/ipci.in/images/foot1.png	(from http://ipci.in/css/mainstyle.css)
17:32:17	11850/11850	---MCZ	200	added ('OK')	text/html	etag:W/%222e4a-56b85df2f14c8%22	http://ipci.in/1_Cockroach-Control.html	C:/My%20Web%20Sites/IPCI/ipci.in/1_Cockroach-Control.html	(from http://ipci.in/Household-pest-Control-1.html)
17:32:18	4716/4716	---M--	200	added ('OK')	image/gif	etag:%22126c-55f368ea0d446%22	http://ipci.in/uploads/products/1.gif	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/1.gif	(from http://ipci.in/Household-pest-Control-1.html)
17:32:18	9505/9505	---MCZ	200	added ('OK')	text/html	etag:W/%222521-56b85e2d64c39%22	http://ipci.in/2_Lizard-control.html	C:/My%20Web%20Sites/IPCI/ipci.in/2_Lizard-control.html	(from http://ipci.in/Household-pest-Control-1.html)
17:32:19	2601/2601	---M--	200	added ('OK')	image/jpeg	etag:%22a29-55f368ea43777%22	http://ipci.in/uploads/products/2.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/2.jpg	(from http://ipci.in/Household-pest-Control-1.html)
17:32:19	11510/11510	---MCZ	200	added ('OK')	text/html	etag:W/%222cf6-55f367e46abba%22	http://ipci.in/3_General-Disinfestation.html	C:/My%20Web%20Sites/IPCI/ipci.in/3_General-Disinfestation.html	(from http://ipci.in/Household-pest-Control-1.html)
17:32:19	4866/4866	---M--	200	added ('OK')	image/jpeg	etag:%221302-55f368eb3c3f3%22	http://ipci.in/uploads/products/3.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/3.jpg	(from http://ipci.in/Household-pest-Control-1.html)
17:32:20	11084/11084	---MCZ	200	added ('OK')	text/html	etag:W/%222b4c-55f367e4ced4c%22	http://ipci.in/6_Warehouse-Pest-Control.html	C:/My%20Web%20Sites/IPCI/ipci.in/6_Warehouse-Pest-Control.html	(from http://ipci.in/Commercial-pest-Control-2.html)
17:32:21	11255/11255	---MCZ	200	added ('OK')	text/html	etag:W/%222bf7-55f367e4cbe6c%22	http://ipci.in/5_Industrial-Pest-Control.html	C:/My%20Web%20Sites/IPCI/ipci.in/5_Industrial-Pest-Control.html	(from http://ipci.in/Commercial-pest-Control-2.html)
17:32:21	6169/6169	---M--	200	added ('OK')	image/jpeg	etag:%221819-55f368eb40a43%22	http://ipci.in/uploads/products/6.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/6.jpg	(from http://ipci.in/Commercial-pest-Control-2.html)
17:32:22	11897/11897	---MCZ	200	added ('OK')	text/html	etag:W/%222e79-55f367e4a9f73%22	http://ipci.in/4_Corporate-Pest-Control.html	C:/My%20Web%20Sites/IPCI/ipci.in/4_Corporate-Pest-Control.html	(from http://ipci.in/Commercial-pest-Control-2.html)
17:32:22	4386/4386	---M--	200	added ('OK')	image/jpeg	etag:%221122-55f368eb3f2d3%22	http://ipci.in/uploads/products/5.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/5.jpg	(from http://ipci.in/Commercial-pest-Control-2.html)
17:32:23	5566/5566	---M--	200	added ('OK')	image/jpeg	etag:%2215be-55f368eb3db63%22	http://ipci.in/uploads/products/4.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/4.jpg	(from http://ipci.in/Commercial-pest-Control-2.html)
17:32:24	11444/11444	---MCZ	200	added ('OK')	text/html	etag:W/%222cb4-55f367e891b9b%22	http://ipci.in/7_Trapping-Non-Chemical-Control.html	C:/My%20Web%20Sites/IPCI/ipci.in/7_Trapping-Non-Chemical-Control.html	(from http://ipci.in/Rat-%26Rodent-Control-4.html)
17:32:25	6638/6638	---M--	200	added ('OK')	image/jpeg	etag:%2219ee-55f368eb4259b%22	http://ipci.in/uploads/products/7.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/7.jpg	(from http://ipci.in/Rat-%26Rodent-Control-4.html)
17:32:26	10785/10785	---MCZ	200	added ('OK')	text/html	etag:W/%222a21-56b85ddc02e75%22	http://ipci.in/17_Rat-control-in-open-areas.html	C:/My%20Web%20Sites/IPCI/ipci.in/17_Rat-control-in-open-areas.html	(from http://ipci.in/Rat-%26Rodent-Control-4.html)
17:32:28	5053/5053	---M--	200	added ('OK')	image/jpeg	etag:%2213bd-55f368ea9b9a0%22	http://ipci.in/uploads/products/17.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/17.jpg	(from http://ipci.in/Rat-%26Rodent-Control-4.html)
17:32:29	13290/13290	---MCZ	200	added ('OK')	text/html	etag:W/%2233ea-55f367e894e63%22	http://ipci.in/8_Baiting-Chemical-Control.html	C:/My%20Web%20Sites/IPCI/ipci.in/8_Baiting-Chemical-Control.html	(from http://ipci.in/Rat-%26Rodent-Control-4.html)
17:32:30	3031/3031	---M--	200	added ('OK')	image/jpeg	etag:%22bd7-55f368eb43d0b%22	http://ipci.in/uploads/products/8.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/8.jpg	(from http://ipci.in/Rat-%26Rodent-Control-4.html)
